Entity;Day;Daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned)
Canada;2021/06/29;0.57405955
Canada;2021/06/30;0.58509916
Canada;2021/07/01;0.43422452
Canada;2021/07/02;0.43422452
Canada;2021/07/03;0.45630375
Canada;2021/07/04;0.5078219
Canada;2021/07/05;0.47838295
Canada;2021/07/06;0.46734336
Canada;2021/07/07;0.45262387
Canada;2021/07/08;0.3900661
Canada;2021/07/09;0.33486807
Canada;2021/07/10;0.31646872
Canada;2021/07/11;0.28702977
Canada;2021/07/12;0.28702977
Canada;2021/07/13;0.27599016
Canada;2021/07/14;0.25391096
Canada;2021/07/15;0.24287134
Canada;2021/07/16;0.24655122
Canada;2021/07/17;0.22815187
Canada;2021/07/18;0.24287134
Canada;2021/07/19;0.22079213
Canada;2021/07/20;0.2134324
Canada;2021/07/21;0.224472
Canada;2021/07/22;0.20239279
Canada;2021/07/23;0.19503304
Canada;2021/07/24;0.19503304
Canada;2021/07/25;0.18031357
Canada;2021/07/26;0.18767332
Canada;2021/07/27;0.17295384
Canada;2021/07/28;0.17295384
Canada;2021/07/29;0.18399344
Canada;2021/07/30;0.20239279
Canada;2021/07/31;0.17295384
Canada;2021/08/01;0.17295384
Canada;2021/08/02;0.1766337
Canada;2021/08/03;0.17295384
Canada;2021/08/04;0.16191423
Canada;2021/08/05;0.15823436
Canada;2021/08/06;0.16191423
Canada;2021/08/07;0.20975253
Canada;2021/08/08;0.23919147
Canada;2021/08/09;0.24655122
Canada;2021/08/10;0.2612707
Canada;2021/08/11;0.28702977
Canada;2021/08/12;0.28702977
Canada;2021/08/13;0.26495057
Canada;2021/08/14;0.2134324
Canada;2021/08/15;0.15455449
Canada;2021/08/16;0.13615514
Canada;2021/08/17;0.11407594
Canada;2021/08/18;0.10303633
Canada;2021/08/19;0.13615514
Canada;2021/08/20;0.26863042
Canada;2021/08/21;0.33854795
Canada;2021/08/22;0.34222782
Canada;2021/08/23;0.33486807
Canada;2021/08/24;0.35694727
Canada;2021/08/25;0.40478557
Canada;2021/08/26;0.47838295
Canada;2021/08/27;0.34958753
Canada;2021/08/28;0.2980694
Canada;2021/08/29;0.3679869
Canada;2021/08/30;0.39374596
Canada;2021/08/31;0.3790265
Canada;2021/09/01;0.37534663
Canada;2021/09/02;0.2980694
Canada;2021/09/03;0.38638625
Canada;2021/09/04;0.45998362
Canada;2021/09/05;0.42318493
Canada;2021/09/06;0.43422452
Canada;2021/09/07;0.4379044
Canada;2021/09/08;0.38638625
Canada;2021/09/09;0.48942256
Canada;2021/09/10;0.5262213
Canada;2021/09/11;0.51886153
Canada;2021/09/12;0.5961388
Canada;2021/09/13;0.6255777
Canada;2021/09/14;0.6476569
Canada;2021/09/15;0.7801322
Canada;2021/09/16;0.7212543
Canada;2021/09/17;0.72861403
Canada;2021/09/18;0.69549525
Canada;2021/09/19;0.72861403
Canada;2021/09/20;0.7102147
Canada;2021/09/21;0.7175744
Canada;2021/09/22;0.7175744
Canada;2021/09/23;0.8169309
Canada;2021/09/24;0.84269
Canada;2021/09/25;0.9383666
Canada;2021/09/26;0.9126075
Canada;2021/09/27;0.9420464
Canada;2021/09/28;0.9420464
Canada;2021/09/29;0.9678055
Canada;2021/09/30;0.9714854
Canada;2021/10/01;1.0266834
Canada;2021/10/02;1.0524426
Canada;2021/10/03;1.0966009
Canada;2021/10/04;1.1002808
Canada;2021/10/05;1.0855613
Canada;2021/10/06;1.092921
Canada;2021/10/07;1.0745217
Canada;2021/10/08;1.0671619
Canada;2021/10/09;0.98620486
Canada;2021/10/10;0.96412563
Canada;2021/10/11;0.9236471
Canada;2021/10/12;0.9346867
Canada;2021/10/13;0.8022114
Canada;2021/10/14;0.8758088
Canada;2021/10/15;0.9346867
Canada;2021/10/16;1.0266834
Canada;2021/10/17;1.0377231
Canada;2021/10/18;1.0450828
Canada;2021/10/19;1.0524426
Canada;2021/10/20;1.2658749
Canada;2021/10/21;1.1554788
Canada;2021/10/22;1.0193237
Canada;2021/10/23;0.90524775
Canada;2021/10/24;0.96044576
Canada;2021/10/25;0.9678055
Canada;2021/10/26;0.9383666
Canada;2021/10/27;0.8868484
Canada;2021/10/28;0.86844903
Canada;2021/10/29;0.86844903
Canada;2021/10/30;0.9567659
Canada;2021/10/31;0.8169309
Canada;2021/11/01;0.8058913
Canada;2021/11/02;0.80957115
Canada;2021/11/03;0.79853153
Canada;2021/11/04;0.7911718
Canada;2021/11/05;0.7801322
Canada;2021/11/06;0.68077576
Canada;2021/11/07;0.65501666
Canada;2021/11/08;0.6476569
Canada;2021/11/09;0.673416
Canada;2021/11/10;0.6145381
Canada;2021/11/11;0.58509916
Canada;2021/11/12;0.5666998
Canada;2021/11/13;0.5556602
Canada;2021/11/14;0.64397705
Canada;2021/11/15;0.65869653
Canada;2021/11/16;0.673416
Canada;2021/11/17;0.69917506
Canada;2021/11/18;0.68077576
Canada;2021/11/19;0.6623764
Canada;2021/11/20;0.7102147
Canada;2021/11/21;0.62925756
Canada;2021/11/22;0.6145381
Canada;2021/11/23;0.5961388
Canada;2021/11/24;0.51886153
Canada;2021/11/25;0.5556602
Canada;2021/11/26;0.5446206
Canada;2021/11/27;0.5078219
Canada;2021/11/28;0.50414205
Canada;2021/11/29;0.5225414
Canada;2021/11/30;0.51518166
Canada;2021/12/01;0.52990115
Canada;2021/12/02;0.4857427
Canada;2021/12/03;0.48942256
Canada;2021/12/04;0.5004622
Canada;2021/12/05;0.5078219
Canada;2021/12/06;0.4857427
Canada;2021/12/07;0.4710232
Canada;2021/12/08;0.4710232
Canada;2021/12/09;0.5078219
Canada;2021/12/10;0.5004622
Canada;2021/12/11;0.5078219
Canada;2021/12/12;0.5225414
Canada;2021/12/13;0.53726083
Canada;2021/12/14;0.56301993
Canada;2021/12/15;0.51886153
Canada;2021/12/16;0.5225414
Canada;2021/12/17;0.5225414
Canada;2021/12/18;0.5004622
Canada;2021/12/19;0.4857427
Canada;2021/12/20;0.4710232
Canada;2021/12/21;0.45262387
Canada;2021/12/22;0.44526413
Canada;2021/12/23;0.42318493
Canada;2021/12/24;0.4379044
Canada;2021/12/25;0.43054464
Canada;2021/12/26;0.4011057
Canada;2021/12/27;0.37534663
Canada;2021/12/28;0.37534663
Canada;2021/12/29;0.45630375
Canada;2021/12/30;0.48206282
Canada;2021/12/31;0.5004622
Canada;2022/01/01;0.53726083
Canada;2022/01/02;0.6366173
Canada;2022/01/03;0.69549525
Canada;2022/01/04;0.7727725
Canada;2022/01/05;0.7470134
Canada;2022/01/06;0.84269
Canada;2022/01/07;0.9678055
Canada;2022/01/08;1.0818814
Canada;2022/01/09;1.2474755
Canada;2022/01/10;1.4461884
Canada;2022/01/11;1.4977067
Canada;2022/01/12;1.5749838
Canada;2022/01/13;1.7736968
Canada;2022/01/14;1.9687299
Canada;2022/01/15;2.1453636
